symbol,strategy,entry_time,exit_time,entry,stop_loss,target,exit_price,outcome,r_multiple,pnl_pct,candles_held
NOW,VWAP_BROAD_TEST,2026-08-03 09:35:00-04:00,2026-08-03 11:00:00-04:00,116.55,113.9,120.53,113.9,STOP,-1.0,-2.27,17
NOW,VWAP_BROAD_TEST,2026-08-04 09:35:00-04:00,2026-08-04 19:55:00-04:00,114.67,112.0,118.68,117.25,EOD_SQUAREOFF,0.97,2.25,124
NOW,VWAP_RETEST,2026-08-04 16:55:00-04:00,2026-08-04 19:55:00-04:00,116.96,115.5,119.15,117.25,EOD_SQUAREOFF,0.2,0.25,36
NOW,VWAP_BROAD_TEST,2026-08-05 09:45:00-04:00,2026-08-05 09:45:00-04:00,119.01,118.14,120.33,118.14,STOP,-1.0,-0.74,0
NOW,VWAP_RETEST,2026-08-05 10:40:00-04:00,2026-08-05 10:40:00-04:00,118.3,118.0,118.75,118.0,STOP,-1.0,-0.25,0
NOW,EMA_CROSS,2026-08-06 09:40:00-04:00,2026-08-06 12:05:00-04:00,113.39,111.8,115.79,115.79,TARGET,1.5,2.11,29
NOW,VWAP_BROAD_TEST,2026-08-06 09:40:00-04:00,2026-08-06 12:05:00-04:00,113.39,111.8,115.79,115.79,TARGET,1.5,2.11,29
NOW,VWAP_RETEST,2026-08-06 10:15:00-04:00,2026-08-06 10:15:00-04:00,113.55,113.12,114.2,114.2,TARGET,1.5,0.57,0
NOW,VWAP_BROAD_TEST,2026-08-07 09:35:00-04:00,2026-08-07 19:55:00-04:00,123.99,120.96,128.53,124.99,EOD_SQUAREOFF,0.33,0.81,124
NOW,VWAP_RETEST,2026-08-07 10:00:00-04:00,2026-08-07 10:10:00-04:00,123.74,122.75,125.22,125.22,TARGET,1.5,1.2,2
NOW,EMA_CROSS,2026-08-07 15:40:00-04:00,2026-08-07 19:55:00-04:00,124.76,124.1,125.75,124.99,EOD_SQUAREOFF,0.35,0.18,51
NOW,EMA_CROSS,2026-08-10 09:45:00-04:00,2026-08-10 11:10:00-04:00,124.54,123.28,126.44,126.44,TARGET,1.5,1.52,17
NOW,VWAP_BROAD_TEST,2026-08-10 09:45:00-04:00,2026-08-10 09:50:00-04:00,124.54,123.56,126.02,123.56,STOP,-1.0,-0.79,1
NOW,VWAP_RETEST,2026-08-10 10:30:00-04:00,2026-08-10 10:40:00-04:00,124.93,124.39,125.74,125.74,TARGET,1.5,0.65,2
NOW,EMA_CROSS,2026-08-11 09:55:00-04:00,2026-08-11 19:55:00-04:00,126.95,125.16,129.63,127.19,EOD_SQUAREOFF,0.13,0.19,120
NOW,VWAP_BROAD_TEST,2026-08-11 09:55:00-04:00,2026-08-11 19:55:00-04:00,126.95,125.5,129.12,127.19,EOD_SQUAREOFF,0.17,0.19,120
NOW,VWAP_RETEST,2026-08-11 10:20:00-04:00,2026-08-11 11:40:00-04:00,127.86,126.9,129.3,126.9,STOP,-1.0,-0.75,16
NOW,VWAP_BROAD_TEST,2026-08-12 09:35:00-04:00,2026-08-12 09:45:00-04:00,125.22,123.05,128.48,123.05,STOP,-1.0,-1.73,2
NOW,VWAP_RETEST,2026-08-12 12:10:00-04:00,2026-08-12 12:10:00-04:00,123.98,123.56,124.61,123.56,STOP,-1.0,-0.34,0
NOW,EMA_CROSS,2026-08-13 09:55:00-04:00,2026-08-13 10:25:00-04:00,125.68,124.33,127.71,124.33,STOP,-1.0,-1.07,6
NOW,VWAP_BROAD_TEST,2026-08-13 09:55:00-04:00,2026-08-13 10:25:00-04:00,125.68,124.53,127.41,124.53,STOP,-1.0,-0.92,6
NOW,VWAP_RETEST,2026-08-13 10:20:00-04:00,2026-08-13 10:20:00-04:00,125.44,125.09,125.97,125.09,STOP,-1.0,-0.28,0
NOW,VWAP_BROAD_TEST,2026-08-14 10:40:00-04:00,2026-08-14 10:40:00-04:00,123.96,123.68,124.38,123.68,STOP,-1.0,-0.23,0
NOW,EMA_CROSS,2026-08-14 14:45:00-04:00,2026-08-14 15:05:00-04:00,125.2,124.89,125.66,124.89,STOP,-1.0,-0.25,4
NOW,VWAP_RETEST,2026-08-14 15:30:00-04:00,2026-08-14 15:30:00-04:00,124.78,124.56,125.11,124.56,STOP,-1.0,-0.18,0
NOW,VWAP_BROAD_TEST,2026-08-17 09:35:00-04:00,2026-08-17 09:40:00-04:00,122.43,121.32,124.1,121.32,STOP,-1.0,-0.91,1
NOW,VWAP_BROAD_TEST,2026-08-18 09:40:00-04:00,2026-08-18 18:50:00-04:00,119.97,118.39,122.35,118.39,STOP,-1.0,-1.32,110
NOW,VWAP_RETEST,2026-08-18 10:25:00-04:00,2026-08-18 10:25:00-04:00,120.13,119.86,120.53,119.86,STOP,-1.0,-0.22,0
NOW,VWAP_BROAD_TEST,2026-08-19 09:35:00-04:00,2026-08-19 10:45:00-04:00,121.94,118.51,127.09,127.09,TARGET,1.5,4.22,14
NOW,VWAP_RETEST,2026-08-19 16:00:00-04:00,2026-08-19 16:00:00-04:00,127.19,126.91,127.61,126.91,STOP,-1.0,-0.22,0
NOW,VWAP_BROAD_TEST,2026-08-20 09:35:00-04:00,2026-08-20 09:35:00-04:00,128.29,127.23,129.89,127.23,STOP,-1.0,-0.83,0
NOW,VWAP_RETEST,2026-08-20 10:50:00-04:00,2026-08-20 10:50:00-04:00,128.6,128.37,128.93,128.93,TARGET,1.5,0.26,0
NOW,VWAP_BROAD_TEST,2026-08-21 09:35:00-04:00,2026-08-21 09:40:00-04:00,130.02,129.12,131.37,129.12,STOP,-1.0,-0.69,1
NOW,VWAP_RETEST,2026-08-21 10:55:00-04:00,2026-08-21 12:35:00-04:00,130.78,129.72,132.37,129.72,STOP,-1.0,-0.81,20
NOW,VWAP_BROAD_TEST,2026-08-24 09:35:00-04:00,2026-08-24 09:55:00-04:00,128.61,127.59,130.14,130.14,TARGET,1.5,1.19,4
NOW,VWAP_RETEST,2026-08-24 10:20:00-04:00,2026-08-24 10:20:00-04:00,128.91,128.66,129.29,128.66,STOP,-1.0,-0.19,0
NOW,EMA_CROSS,2026-08-24 15:55:00-04:00,2026-08-24 15:55:00-04:00,128.95,128.44,129.71,128.44,STOP,-1.0,-0.4,0
NOW,VWAP_BROAD_TEST,2026-08-25 09:35:00-04:00,2026-08-25 09:35:00-04:00,126.75,125.25,129.01,129.01,TARGET,1.5,1.78,0
NOW,VWAP_RETEST,2026-08-25 12:05:00-04:00,2026-08-25 12:05:00-04:00,127.48,127.48,127.48,127.48,STOP,-1.0,-0.0,0
NOW,VWAP_BROAD_TEST,2026-08-26 09:35:00-04:00,2026-08-26 16:00:00-04:00,124.55,121.88,128.56,128.56,TARGET,1.5,3.22,77
NOW,VWAP_RETEST,2026-08-26 10:00:00-04:00,2026-08-26 10:05:00-04:00,124.78,124.15,125.72,124.15,STOP,-1.0,-0.5,1
NOW,VWAP_BROAD_TEST,2026-08-27 09:35:00-04:00,2026-08-27 09:40:00-04:00,132.47,130.25,135.8,135.8,TARGET,1.5,2.51,1
NOW,VWAP_RETEST,2026-08-27 10:55:00-04:00,2026-08-27 11:00:00-04:00,136.93,136.28,137.91,137.91,TARGET,1.5,0.71,1
NOW,VWAP_BROAD_TEST,2026-08-28 09:35:00-04:00,2026-08-28 11:15:00-04:00,140.64,137.8,144.9,144.9,TARGET,1.5,3.03,20
NOW,VWAP_RETEST,2026-08-28 10:15:00-04:00,2026-08-28 10:15:00-04:00,141.08,140.55,141.87,141.87,TARGET,1.5,0.56,0
NOW,VWAP_BROAD_TEST,2026-08-31 09:35:00-04:00,2026-08-31 15:35:00-04:00,144.77,141.69,149.39,149.39,TARGET,1.5,3.19,72
NOW,VWAP_RETEST,2026-08-31 10:00:00-04:00,2026-08-31 10:00:00-04:00,145.38,144.94,146.05,144.94,STOP,-1.0,-0.31,0
NOW,VWAP_BROAD_TEST,2026-09-01 09:35:00-04:00,2026-09-01 11:00:00-04:00,145.62,143.54,148.74,143.54,STOP,-1.0,-1.43,17
