symbol,strategy,entry_time,exit_time,entry,stop_loss,target,exit_price,outcome,r_multiple,pnl_pct,candles_held
BE,VWAP_BROAD_TEST,2026-08-03 09:35:00-04:00,2026-08-03 09:35:00-04:00,194.6,191.0,200.0,200.0,TARGET,1.5,2.77,0
BE,EMA_CROSS,2026-08-03 13:05:00-04:00,2026-08-03 14:00:00-04:00,217.42,215.6,220.15,220.15,TARGET,1.5,1.26,11
BE,VWAP_RETEST,2026-08-03 16:15:00-04:00,2026-08-03 19:55:00-04:00,218.32,206.0,236.8,221.37,EOD_SQUAREOFF,0.25,1.4,44
BE,VWAP_BROAD_TEST,2026-08-04 09:35:00-04:00,2026-08-04 09:40:00-04:00,226.88,221.5,234.95,221.5,STOP,-1.0,-2.37,1
BE,VWAP_RETEST,2026-08-04 13:20:00-04:00,2026-08-04 14:10:00-04:00,229.95,228.3,232.42,228.3,STOP,-1.0,-0.72,10
BE,VWAP_BROAD_TEST,2026-08-05 09:35:00-04:00,2026-08-05 19:55:00-04:00,231.5,222.59,244.86,234.0,EOD_SQUAREOFF,0.28,1.08,124
BE,VWAP_RETEST,2026-08-05 10:45:00-04:00,2026-08-05 10:45:00-04:00,235.92,235.02,237.27,235.02,STOP,-1.0,-0.38,0
BE,EMA_CROSS,2026-08-05 15:55:00-04:00,2026-08-05 15:55:00-04:00,236.37,234.75,238.8,234.75,STOP,-1.0,-0.69,0
BE,VWAP_BROAD_TEST,2026-08-06 09:35:00-04:00,2026-08-06 09:45:00-04:00,226.2,221.21,233.67,233.67,TARGET,1.5,3.31,2
BE,VWAP_RETEST,2026-08-06 12:10:00-04:00,2026-08-06 12:10:00-04:00,240.31,239.74,241.16,239.74,STOP,-1.0,-0.24,0
BE,VWAP_BROAD_TEST,2026-08-07 09:40:00-04:00,2026-08-07 09:45:00-04:00,235.38,232.94,239.04,232.94,STOP,-1.0,-1.04,1
BE,VWAP_BROAD_TEST,2026-08-10 09:50:00-04:00,2026-08-10 10:00:00-04:00,214.88,212.25,218.81,218.81,TARGET,1.5,1.83,2
BE,VWAP_RETEST,2026-08-10 10:30:00-04:00,2026-08-10 10:35:00-04:00,215.77,214.31,217.96,217.96,TARGET,1.5,1.01,1
BE,VWAP_BROAD_TEST,2026-08-11 09:35:00-04:00,2026-08-11 09:45:00-04:00,218.51,211.1,229.62,211.1,STOP,-1.0,-3.39,2
BE,VWAP_RETEST,2026-08-11 11:20:00-04:00,2026-08-11 11:20:00-04:00,215.08,214.5,215.95,215.95,TARGET,1.5,0.4,0
BE,VWAP_BROAD_TEST,2026-08-12 09:35:00-04:00,2026-08-12 10:20:00-04:00,243.41,235.21,255.71,235.21,STOP,-1.0,-3.37,9
BE,VWAP_RETEST,2026-08-12 19:40:00-04:00,2026-08-12 19:40:00-04:00,239.6,239.25,240.12,239.25,STOP,-1.0,-0.15,0
BE,VWAP_BROAD_TEST,2026-08-13 09:35:00-04:00,2026-08-13 19:55:00-04:00,242.99,233.44,257.32,237.4,EOD_SQUAREOFF,-0.59,-2.3,124
BE,VWAP_RETEST,2026-08-13 10:45:00-04:00,2026-08-13 10:55:00-04:00,245.78,244.22,248.12,244.22,STOP,-1.0,-0.63,2
BE,VWAP_BROAD_TEST,2026-08-14 09:35:00-04:00,2026-08-14 09:40:00-04:00,233.52,230.5,238.05,238.05,TARGET,1.5,1.94,1
BE,VWAP_RETEST,2026-08-14 10:30:00-04:00,2026-08-14 10:30:00-04:00,242.42,240.15,245.82,245.82,TARGET,1.5,1.4,0
BE,VWAP_BROAD_TEST,2026-08-17 09:45:00-04:00,2026-08-17 12:05:00-04:00,237.99,233.0,245.48,233.0,STOP,-1.0,-2.1,28
BE,VWAP_RETEST,2026-08-17 10:25:00-04:00,2026-08-17 11:05:00-04:00,241.29,238.56,245.38,238.56,STOP,-1.0,-1.13,8
BE,VWAP_BROAD_TEST,2026-08-18 09:35:00-04:00,2026-08-18 09:45:00-04:00,219.99,216.4,225.38,216.4,STOP,-1.0,-1.63,2
BE,VWAP_BROAD_TEST,2026-08-19 15:35:00-04:00,2026-08-19 15:35:00-04:00,204.24,203.81,204.89,204.89,TARGET,1.5,0.32,0
BE,VWAP_BROAD_TEST,2026-08-20 09:40:00-04:00,2026-08-20 09:45:00-04:00,204.75,200.43,211.23,200.43,STOP,-1.0,-2.11,1
BE,VWAP_RETEST,2026-08-20 10:25:00-04:00,2026-08-20 11:10:00-04:00,202.99,200.43,206.83,200.43,STOP,-1.0,-1.26,9
